State County FIPS,Postal Code,Name,Median Household Income,Year
"33 , 3",NH,Carroll County,43210,2017
"33 , 5",NH,Cheshire County,45179,2017
"33 , 7",NH,Coos County,35260,2017
"33 , 9",NH,Grafton County,46048,2017
"33 , 11",NH,Hillsborough County,56202,2017
"33 , 13",NH,Merrimack County,51508,2017
"33 , 15",NH,Rockingham County,65209,2017
"33 , 17",NH,Strafford County,46354,2017
"33 , 19",NH,Sullivan County,43958,2017
"33 , 1",NH,Belknap County,46877,2018
"33 , 3",NH,Carroll County,43210,2018
"33 , 5",NH,Cheshire County,45179,2018
"33 , 7",NH,Coos County,35260,2018
"33 , 9",NH,Grafton County,46048,2018
"33 , 11",NH,Hillsborough County,56202,2018
"33 , 13",NH,Merrimack County,51508,2018
"33 , 15",NH,Rockingham County,65209,2018
"33 , 17",NH,Strafford County,46354,2018
"33 , 19",NH,Sullivan County,43958,2018
