State County FIPS,Postal Code,Name,Median Household Income,Year
"12 , 19",FL,Clay County,51376,2005
"12 , 21",FL,Collier County,48242,2005
"12 , 23",FL,Columbia County,30815,2005
"12 , 27",FL,DeSoto County,27784,2005
"12 , 29",FL,Dixie County,25874,2005
"12 , 31",FL,Duval County,40457,2005
"12 , 33",FL,Escambia County,35347,2005
"12 , 35",FL,Flagler County,42681,2005
"12 , 37",FL,Franklin County,28896,2005
"12 , 39",FL,Gadsden County,29814,2005
"12 , 41",FL,Gilchrist County,30908,2005
"12 , 43",FL,Glades County,31598,2005
"12 , 45",FL,Gulf County,31543,2005
"12 , 47",FL,Hamilton County,25201,2005
"12 , 49",FL,Hardee County,27851,2005
"12 , 51",FL,Hendry County,31292,2005
"12 , 53",FL,Hernando County,33874,2005
"12 , 55",FL,Highlands County,29421,2005
"12 , 57",FL,Hillsborough County,43304,2005
"12 , 59",FL,Holmes County,27773,2005
"12 , 61",FL,Indian River County,40356,2005
"12 , 63",FL,Jackson County,29951,2005
"12 , 65",FL,Jefferson County,32742,2005
"12 , 67",FL,Lafayette County,27177,2005
"12 , 69",FL,Lake County,39040,2005
"12 , 71",FL,Lee County,41270,2005
"12 , 73",FL,Leon County,38084,2005
"12 , 75",FL,Levy County,27904,2005
"12 , 77",FL,Liberty County,29824,2005
"12 , 79",FL,Madison County,26592,2005
"12 , 81",FL,Manatee County,39756,2005
"12 , 83",FL,Marion County,33247,2005
"12 , 85",FL,Martin County,43136,2005
"12 , 86",FL,Miami-Dade County,33054,2005
"12 , 87",FL,Monroe County,41306,2005
"12 , 89",FL,Nassau County,48579,2005
"12 , 91",FL,Okaloosa County,43173,2005
"12 , 93",FL,Okeechobee County,29789,2005
"12 , 95",FL,Orange County,40671,2005
"12 , 97",FL,Osceola County,38966,2005
"12 , 99",FL,Palm Beach County,43014,2005
"12 , 101",FL,Pasco County,35386,2005
"12 , 103",FL,Pinellas County,36266,2005
"12 , 105",FL,Polk County,35125,2005
"12 , 107",FL,Putnam County,28664,2005
"12 , 109",FL,St. Johns County,52758,2005
"12 , 111",FL,St. Lucie County,37407,2005
"12 , 113",FL,Santa Rosa County,44636,2005
"12 , 115",FL,Sarasota County,42355,2005
"12 , 117",FL,Seminole County,49267,2005
"12 , 119",FL,Sumter County,34044,2005
"12 , 121",FL,Suwannee County,29523,2005
"12 , 123",FL,Taylor County,30871,2005
"12 , 125",FL,Union County,32847,2005
"12 , 127",FL,Volusia County,36100,2005
"12 , 129",FL,Wakulla County,38076,2005
"12 , 131",FL,Walton County,34884,2005
"12 , 133",FL,Washington County,28587,2005
"12 , 1",FL,Alachua County,33176,2006
"12 , 3",FL,Baker County,39281,2006
"12 , 5",FL,Bay County,37081,2006
"12 , 7",FL,Bradford County,32598,2006
"12 , 9",FL,Brevard County,42192,2006
"12 , 11",FL,Broward County,42673,2006
"12 , 13",FL,Calhoun County,26615,2006
"12 , 15",FL,Charlotte County,36514,2006
"12 , 17",FL,Citrus County,31932,2006
"12 , 19",FL,Clay County,51376,2006
"12 , 21",FL,Collier County,48242,2006
"12 , 23",FL,Columbia County,30815,2006
"12 , 27",FL,DeSoto County,27784,2006
"12 , 29",FL,Dixie County,25874,2006
"12 , 31",FL,Duval County,40457,2006
