State County FIPS,Postal Code,Name,Median Household Income,Year
"30 , 59",MT,Meagher County,26010,2005
"30 , 61",MT,Mineral County,29904,2005
"30 , 63",MT,Missoula County,36790,2005
"30 , 65",MT,Musselshell County,27499,2005
"30 , 67",MT,Park County,32837,2005
"30 , 69",MT,Petroleum County,23622,2005
"30 , 71",MT,Phillips County,29472,2005
"30 , 73",MT,Pondera County,29420,2005
"30 , 75",MT,Powder River County,28851,2005
"30 , 77",MT,Powell County,29676,2005
"30 , 79",MT,Prairie County,28238,2005
"30 , 81",MT,Ravalli County,34907,2005
"30 , 83",MT,Richland County,34365,2005
"30 , 85",MT,Roosevelt County,25677,2005
"30 , 87",MT,Rosebud County,38696,2005
"30 , 89",MT,Sanders County,28456,2005
"30 , 91",MT,Sheridan County,29651,2005
"30 , 93",MT,Silver Bow County,32263,2005
"30 , 95",MT,Stillwater County,44890,2005
"30 , 97",MT,Sweet Grass County,34253,2005
"30 , 99",MT,Teton County,30928,2005
"30 , 101",MT,Toole County,29946,2005
"30 , 103",MT,Treasure County,30961,2005
"30 , 105",MT,Valley County,32391,2005
"30 , 107",MT,Wheatland County,23620,2005
"30 , 109",MT,Wibaux County,29653,2005
"30 , 111",MT,Yellowstone County,41174,2005
"30 , 1",MT,Beaverhead County,31605,2006
"30 , 3",MT,Big Horn County,27719,2006
"30 , 5",MT,Blaine County,25373,2006
"30 , 7",MT,Broadwater County,33360,2006
"30 , 9",MT,Carbon County,34499,2006
"30 , 11",MT,Carter County,26301,2006
"30 , 13",MT,Cascade County,34546,2006
"30 , 15",MT,Chouteau County,28774,2006
"30 , 17",MT,Custer County,31980,2006
"30 , 19",MT,Daniels County,28081,2006
"30 , 21",MT,Dawson County,33900,2006
"30 , 23",MT,Deer Lodge County,28553,2006
"30 , 25",MT,Fallon County,35354,2006
"30 , 27",MT,Fergus County,31612,2006
"30 , 29",MT,Flathead County,37492,2006
"30 , 31",MT,Gallatin County,40724,2006
"30 , 33",MT,Garfield County,28572,2006
"30 , 35",MT,Glacier County,27129,2006
"30 , 37",MT,Golden Valley County,24739,2006
"30 , 39",MT,Granite County,30988,2006
"30 , 41",MT,Hill County,32365,2006
"30 , 43",MT,Jefferson County,45407,2006
"30 , 45",MT,Judith Basin County,27014,2006
"30 , 47",MT,Lake County,30362,2006
"30 , 49",MT,Lewis and Clark County,40578,2006
"30 , 51",MT,Liberty County,28258,2006
"30 , 53",MT,Lincoln County,29331,2006
"30 , 55",MT,McCone County,27921,2006
"30 , 57",MT,Madison County,31856,2006
"30 , 59",MT,Meagher County,26010,2006
"30 , 61",MT,Mineral County,29904,2006
"30 , 63",MT,Missoula County,36790,2006
"30 , 65",MT,Musselshell County,27499,2006
"30 , 67",MT,Park County,32837,2006
"30 , 69",MT,Petroleum County,23622,2006
"30 , 71",MT,Phillips County,29472,2006
"30 , 73",MT,Pondera County,29420,2006
"30 , 75",MT,Powder River County,28851,2006
"30 , 77",MT,Powell County,29676,2006
"30 , 79",MT,Prairie County,28238,2006
"30 , 81",MT,Ravalli County,34907,2006
"30 , 83",MT,Richland County,34365,2006
"30 , 85",MT,Roosevelt County,25677,2006
"30 , 87",MT,Rosebud County,38696,2006
"30 , 89",MT,Sanders County,28456,2006
"30 , 91",MT,Sheridan County,29651,2006
"30 , 93",MT,Silver Bow County,32263,2006
"30 , 95",MT,Stillwater County,44890,2006
"30 , 97",MT,Sweet Grass County,34253,2006
"30 , 99",MT,Teton County,30928,2006
"30 , 101",MT,Toole County,29946,2006
"30 , 103",MT,Treasure County,30961,2006
"30 , 105",MT,Valley County,32391,2006
"30 , 107",MT,Wheatland County,23620,2006
"30 , 109",MT,Wibaux County,29653,2006
"30 , 111",MT,Yellowstone County,41174,2006
"30 , 1",MT,Beaverhead County,31605,2007
"30 , 3",MT,Big Horn County,27719,2007
"30 , 5",MT,Blaine County,25373,2007
"30 , 7",MT,Broadwater County,33360,2007
"30 , 9",MT,Carbon County,34499,2007
"30 , 11",MT,Carter County,26301,2007
"30 , 13",MT,Cascade County,34546,2007
"30 , 15",MT,Chouteau County,28774,2007
"30 , 17",MT,Custer County,31980,2007
"30 , 19",MT,Daniels County,28081,2007
"30 , 21",MT,Dawson County,33900,2007
"30 , 23",MT,Deer Lodge County,28553,2007
"30 , 25",MT,Fallon County,35354,2007
"30 , 27",MT,Fergus County,31612,2007
"30 , 29",MT,Flathead County,37492,2007
"30 , 31",MT,Gallatin County,40724,2007
"30 , 33",MT,Garfield County,28572,2007
