county,totalamount
Statewide,5155977.71
Salt Lake,1584037.4
Kane,359495.59
Washington,15300900.450000003
Wasatch,578379.0
Iron,427501.18
Uintah,271592.23
Beaver,481483.02
Tooele,314410.81
Box Elder,949750.0800000001
Sevier,251496.99
Garfield,59331.15
Utah,545652.24
Morgan,157404.34
Cache,3190115.2199999997
Sanpete,381061.97
Weber,1672998.5599999998
Duchesne,178324.38
Piute,23597.48
Davis,2945440.5799999996
Summit,67191.0
Emery,109590.25
Daggett,7661.48
Millard,46297.96
