Table with column headers in row 3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
"Table 1: 2009 Poverty and Median Income Estimates - Counties                             Source: U.S. Census Bureau, Small Area Estimates Branch                              Release date: 12.2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,0,US,United States,42868163,42631574,43104752,14.3,14.3,14.4,14656962,14526159,14787765,20,19.8,20.2,9509142,9419830,9598454,18.2,18.1,18.4,50221,50147,50295,4849988,4792377,4907599,23.2,23,23.5
01,0,AL,Alabama,805223,789114,821333,17.5,17.2,17.9,274243,265833,282654,24.6,23.8,25.3,181942,175085,188799,22.7,21.9,23.6,40547,40037,41057,89398,84576,94221,28.7,27.2,30.3
01,1,AL,Autauga County,5653,4401,6905,11.2,8.7,13.7,2264,1755,2773,16.2,12.5,19.8,1522,1161,1883,14.6,11.1,18,53081,48727,57435,,,,,,
01,3,AL,Baldwin County,23590,20404,26776,13.3,11.5,15.1,8070,6724,9417,19.6,16.3,22.9,5424,4496,6352,18.3,15.2,21.4,48637,46195,51078,,,,,,
01,5,AL,Barbour County,8676,7407,9945,32.8,28,37.6,2690,2297,3083,41.2,35.2,47.2,1949,1678,2220,41.6,35.9,47.4,28802,26012,31591,,,,,,
01,7,AL,Bibb County,3658,2727,4589,18.1,13.5,22.6,1278,979,1577,25.7,19.7,31.7,845,642,1048,22.9,17.4,28.4,38294,34409,42180,,,,,,
01,9,AL,Blount County,8457,6782,10132,14.6,11.7,17.5,2849,2242,3455,20.4,16.1,24.8,1844,1424,2264,18,13.9,22.1,41520,38652,44388,,,,,,
01,11,AL,Bullock County,3230,2492,3968,34.7,26.8,42.7,1063,832,1294,39.7,31,48.3,713,556,870,39.7,30.9,48.4,24206,21705,26707,,,,,,
