"Table 1: 2003 Poverty and Median Income Estimates - Counties                             Source: U.S. Census Bureau, Small Area Estimates Branch                              Release date: 10.02.2006",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
State FIPS,County FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,35861170,35190401,36531939,12.5,12.2,12.7,12865806,12519657,13211955,17.6,17.2,18.1,8399573,8111130,8688016,16.1,15.5,16.6,43318,43009,43627,4021366,3817517,4225215,20.3,19.3,21.4
1,0,AL,Alabama,677455,644647,710263,15.3,14.5,16,243658,227912,259403,22.3,20.9,23.8,165578,153639,177517,21,19.5,22.5,36131,34659,37602,72477,62361,82594,24.7,21.3,28.2
1,1,AL,Autauga County,4926,3815,6038,10.4,8.1,12.7,1891,1423,2359,15.1,11.3,18.8,1347,967,1727,14.4,10.3,18.4,44241,41547,47109,,,,,,
1,3,AL,Baldwin County,15753,12234,19273,10.1,7.9,12.4,5550,4169,6932,15.6,11.7,19.5,3694,2659,4729,14.1,10.1,18,41961,39479,44600,,,,,,
1,5,AL,Barbour County,5717,4411,7022,22.2,17.1,27.3,2083,1557,2609,30.5,22.8,38.2,1446,1036,1856,29.5,21.1,37.9,26062,24432,27801,,,,,,
1,7,AL,Bibb County,3383,2619,4148,16.8,13,20.6,1237,925,1548,23.7,17.7,29.7,874,626,1122,23.2,16.6,29.8,32924,30916,35062,,,,,,
1,9,AL,Blount County,6503,5041,7965,11.9,9.2,14.6,2272,1702,2841,17.3,13,21.7,1594,1147,2041,16.5,11.9,21.1,37758,35473,40191,,,,,,
1,11,AL,Bullock County,2569,1915,3224,26.5,19.7,33.2,881,639,1123,32.6,23.6,41.5,640,443,837,32.7,22.7,42.8,20903,19497,22409,,,,,,
1,13,AL,Butler County,4118,3178,5059,20,15.5,24.6,1540,1152,1927,30.3,22.7,38,1079,773,1385,29.2,20.9,37.5,26951,25282,28730,,,,,,
