Table with column headers in row 3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
"2012 Poverty and Median Household Income Estimates - Counties, States, and National                             Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program      Release date:  December 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
18,017,IN,Cass County,5898,5007,6789,15.6,13.2,18,2236,1847,2625,23.7,19.6,27.8,1456,1181,1731,21,17,25,40809,38088,43530,.,.,.,.,.,.
18,019,IN,Clark County,14083,12023,16143,12.8,10.9,14.7,4693,3807,5579,18.2,14.8,21.6,3136,2513,3759,16.9,13.5,20.3,49164,46215,52113,.,.,.,.,.,.
18,021,IN,Clay County,4118,3486,4750,15.6,13.2,18,1402,1140,1664,22.9,18.6,27.2,904,721,1087,19.8,15.8,23.8,44230,40591,47869,.,.,.,.,.,.
18,023,IN,Clinton County,4430,3694,5166,13.8,11.5,16.1,1799,1462,2136,21,17.1,24.9,1212,975,1449,19.5,15.7,23.3,47748,44042,51454,.,.,.,.,.,.
18,025,IN,Crawford County,1999,1621,2377,18.9,15.3,22.5,754,602,906,31.9,25.5,38.3,508,400,616,28.5,22.5,34.5,39534,36760,42308,.,.,.,.,.,.
18,027,IN,Daviess County,4880,4004,5756,15.5,12.7,18.3,2221,1780,2662,24.2,19.4,29,1463,1152,1774,22.3,17.6,27,44689,42021,47357,.,.,.,.,.,.
18,029,IN,Dearborn County,4662,3780,5544,9.5,7.7,11.3,1685,1327,2043,14.2,11.2,17.2,1165,914,1416,13,10.2,15.8,57465,53287,61643,.,.,.,.,.,.
18,031,IN,Decatur County,3855,3242,4468,15,12.6,17.4,1436,1191,1681,22.7,18.8,26.6,955,782,1128,20.1,16.5,23.7,47387,43761,51013,.,.,.,.,.,.
18,033,IN,De Kalb County,5350,4549,6151,12.8,10.9,14.7,1800,1450,2150,17,13.7,20.3,1202,963,1441,15.2,12.2,18.2,48116,44487,51745,.,.,.,.,.,.
18,035,IN,Delaware County,24275,21854,26696,22.4,20.2,24.6,5891,4909,6873,26.5,22.1,30.9,3675,2950,4400,22.9,18.4,27.4,37339,35390,39288,.,.,.,.,.,.
